Observation period,Clear sky GHI
2023-03-21T10:46:00.0/2023-03-21T10:47:00.0,805.3919999999999
2023-03-21T10:47:00.0/2023-03-21T10:48:00.0,805.02
2023-03-21T10:48:00.0/2023-03-21T10:49:00.0,804.6360000000001
2023-03-21T10:49:00.0/2023-03-21T10:50:00.0,804.2280000000001
2023-03-21T10:50:00.0/2023-03-21T10:51:00.0,803.808
2023-03-21T10:51:00.0/2023-03-21T10:52:00.0,803.364
2023-03-21T10:52:00.0/2023-03-21T10:53:00.0,802.902
2023-03-21T10:53:00.0/2023-03-21T10:54:00.0,802.422
2023-03-21T10:54:00.0/2023-03-21T10:55:00.0,801.924
2023-03-21T10:55:00.0/2023-03-21T10:56:00.0,801.402
2023-03-21T10:56:00.0/2023-03-21T10:57:00.0,800.8679999999999
2023-03-21T10:57:00.0/2023-03-21T10:58:00.0,800.316
2023-03-21T10:58:00.0/2023-03-21T10:59:00.0,799.74
2023-03-21T10:59:00.0/2023-03-21T11:00:00.0,799.152
2023-03-21T11:00:00.0/2023-03-21T11:01:00.0,798.54
2023-03-21T11:01:00.0/2023-03-21T11:02:00.0,797.9100000000001
2023-03-21T11:02:00.0/2023-03-21T11:03:00.0,797.262
2023-03-21T11:03:00.0/2023-03-21T11:04:00.0,796.596
2023-03-21T11:04:00.0/2023-03-21T11:05:00.0,795.912
2023-03-21T11:05:00.0/2023-03-21T11:06:00.0,795.21
